user_id,age,salary,department,years_at_company
,,,Marketing,
2.0,,64773.0,Finance,21.0
3.0,51.0,81168.0,Engineering,
4.0,,57747.0,Sales,29.0
5.0,22.0,106396.0,Marketing,12.0
6.0,52.0,113692.0,Sales,18.0
7.0,45.0,,HR,22.0
8.0,46.0,,Engineering,1.0
,26.0,48135.0,HR,12.0
,69.0,77377.0,HR,10.0
11.0,55.0,53554.0,,29.0
12.0,67.0,92491.0,Engineering,21.0
13.0,,85621.0,Engineering,28.0
14.0,36.0,88283.0,Finance,3.0
15.0,61.0,115140.0,Sales,21.0
16.0,28.0,,,19.0
17.0,19.0,,Finance,19.0
18.0,64.0,92261.0,Finance,14.0
,61.0,84336.0,HR,
20.0,61.0,104083.0,Finance,8.0
21.0,,90948.0,,6.0
22.0,38.0,,Sales,18.0
23.0,41.0,110098.0,Finance,18.0
24.0,51.0,103016.0,,5.0
25.0,39.0,56672.0,Marketing,5.0
,20.0,34213.0,Marketing,
27.0,,,Marketing,14.0
,45.0,85860.0,HR,14.0
29.0,47.0,92507.0,Marketing,
30.0,43.0,87134.0,HR,
31.0,65.0,32100.0,HR,8.0
32.0,,,Marketing,3.0
33.0,45.0,58172.0,Sales,17.0
34.0,43.0,,Marketing,17.0
,50.0,,Marketing,4.0
36.0,38.0,66609.0,Marketing,19.0
37.0,52.0,72965.0,Sales,
38.0,69.0,,Engineering,29.0
39.0,51.0,,Engineering,10.0
40.0,58.0,61881.0,HR,
41.0,68.0,112594.0,HR,21.0
,64.0,,,25.0
,35.0,81813.0,Finance,3.0
44.0,,66021.0,Engineering,28.0
,40.0,84131.0,HR,
46.0,65.0,,Engineering,1.0
47.0,,,Sales,
48.0,34.0,,Sales,9.0
,,31401.0,,8.0
50.0,,115179.0,Finance,9.0
51.0,,,Sales,6.0
52.0,,,HR,3.0
53.0,32.0,50307.0,Engineering,18.0
54.0,44.0,49611.0,Marketing,9.0
55.0,52.0,73791.0,,29.0
,50.0,41950.0,Marketing,2.0
,37.0,,,24.0
,,,Finance,20.0
59.0,51.0,32745.0,Marketing,28.0
60.0,19.0,85243.0,HR,18.0
61.0,,33866.0,Engineering,20.0
62.0,57.0,62245.0,HR,1.0
63.0,45.0,74724.0,Finance,26.0
64.0,64.0,,Sales,19.0
65.0,56.0,81374.0,,9.0
,23.0,60116.0,,1.0
67.0,26.0,111029.0,Finance,
68.0,37.0,50447.0,,27.0
69.0,18.0,,HR,
70.0,25.0,47908.0,Sales,16.0
,,59336.0,Finance,15.0
72.0,20.0,70992.0,Finance,15.0
,21.0,85350.0,,13.0
74.0,42.0,,,6.0
75.0,,81955.0,Sales,
76.0,55.0,91240.0,,10.0
77.0,32.0,50093.0,Finance,23.0
78.0,38.0,,Marketing,0.0
79.0,,,Marketing,10.0
,63.0,63487.0,Engineering,22.0
81.0,,85668.0,,
,31.0,,,
83.0,53.0,80124.0,Sales,6.0
84.0,29.0,82870.0,,
85.0,34.0,86547.0,Sales,14.0
86.0,56.0,94110.0,HR,17.0
,26.0,83554.0,Marketing,11.0
88.0,52.0,50936.0,,16.0
89.0,30.0,34426.0,Sales,0.0
90.0,32.0,118839.0,Sales,
91.0,,57606.0,Sales,27.0
92.0,68.0,77832.0,,0.0
,50.0,58151.0,Marketing,14.0
94.0,23.0,109303.0,Sales,27.0
,44.0,41308.0,Sales,20.0
96.0,40.0,92522.0,Engineering,9.0
,,75671.0,,6.0
98.0,51.0,32204.0,,1.0
99.0,,117265.0,Marketing,9.0
100.0,,61131.0,,23.0
101.0,,,Engineering,
102.0,53.0,63870.0,Finance,11.0
103.0,25.0,79067.0,HR,18.0
104.0,52.0,88585.0,Finance,25.0
105.0,36.0,51607.0,,10.0
106.0,47.0,,,
107.0,31.0,41908.0,Marketing,17.0
108.0,37.0,56423.0,,10.0
,,104707.0,,10.0
,42.0,108257.0,Finance,12.0
111.0,,91215.0,HR,2.0
112.0,41.0,85835.0,,
113.0,31.0,79429.0,Sales,
,43.0,112152.0,,
115.0,55.0,68458.0,,26.0
116.0,,76169.0,HR,
,39.0,,,21.0
118.0,65.0,90614.0,HR,1.0
119.0,,107240.0,Engineering,16.0
120.0,,62793.0,Finance,15.0
121.0,68.0,76473.0,Finance,1.0
,20.0,119388.0,Finance,27.0
,59.0,,Marketing,
124.0,36.0,85751.0,Finance,29.0
125.0,26.0,108915.0,HR,19.0
,45.0,84254.0,,
127.0,37.0,37006.0,Engineering,27.0
128.0,,104218.0,Marketing,24.0
129.0,,,Finance,28.0
130.0,31.0,63840.0,,
131.0,,62430.0,Sales,27.0
132.0,,53091.0,Sales,
133.0,64.0,,Marketing,
134.0,69.0,,,0.0
135.0,31.0,105451.0,Finance,12.0
136.0,55.0,48990.0,Marketing,23.0
137.0,53.0,110360.0,HR,8.0
138.0,57.0,66081.0,HR,21.0
139.0,,41033.0,Marketing,9.0
140.0,,46241.0,Finance,
141.0,26.0,35939.0,,4.0
142.0,50.0,77562.0,Finance,21.0
143.0,,,Sales,15.0
144.0,42.0,,Marketing,
145.0,,57045.0,Finance,
,,,Marketing,24.0
147.0,52.0,77118.0,Marketing,19.0
148.0,58.0,114703.0,Finance,17.0
149.0,,51625.0,Finance,10.0
150.0,47.0,57076.0,Engineering,26.0
151.0,58.0,94805.0,Marketing,
152.0,,,HR,15.0
153.0,21.0,114565.0,Marketing,
154.0,,,,
155.0,25.0,69121.0,Finance,
156.0,19.0,95101.0,Marketing,
157.0,58.0,61433.0,,
158.0,63.0,73309.0,,7.0
159.0,39.0,97468.0,Finance,8.0
160.0,58.0,74254.0,Marketing,11.0
161.0,33.0,97293.0,Sales,
162.0,46.0,67853.0,Engineering,
163.0,66.0,68405.0,HR,9.0
164.0,65.0,96652.0,Marketing,
,47.0,73527.0,Sales,1.0
166.0,29.0,,Marketing,15.0
167.0,,30492.0,,19.0
168.0,28.0,,Finance,
