user_id,age,salary,department,years_at_company
1.0,56.0,38335.0,Engineering,11.0
2.0,69.0,116900.0,HR,29.0
3.0,46.0,119112.0,Sales,8.0
4.0,32.0,41130.0,Marketing,0.0
5.0,60.0,117508.0,Marketing,4.0
6.0,25.0,90566.0,HR,19.0
7.0,38.0,96703.0,HR,7.0
8.0,56.0,57192.0,Finance,
9.0,36.0,31062.0,Finance,11.0
10.0,40.0,114076.0,Sales,
11.0,28.0,119780.0,Sales,24.0
12.0,28.0,51545.0,Engineering,21.0
13.0,41.0,51689.0,Finance,19.0
14.0,53.0,41174.0,Marketing,27.0
15.0,57.0,118461.0,Finance,24.0
,41.0,39348.0,Marketing,10.0
17.0,20.0,53714.0,HR,
18.0,39.0,68102.0,Finance,14.0
19.0,19.0,104460.0,HR,
,41.0,119930.0,Sales,11.0
21.0,,36801.0,Sales,4.0
,47.0,102267.0,Engineering,16.0
23.0,55.0,78136.0,Finance,
24.0,19.0,53625.0,HR,23.0
25.0,38.0,112873.0,Marketing,11.0
,50.0,102592.0,Sales,23.0
27.0,29.0,107052.0,Sales,27.0
28.0,,74261.0,Marketing,14.0
29.0,61.0,31542.0,HR,14.0
30.0,42.0,51677.0,,5.0
31.0,66.0,76732.0,Finance,11.0
32.0,44.0,80343.0,Finance,26.0
33.0,59.0,69081.0,Engineering,28.0
34.0,45.0,92856.0,Sales,19.0
35.0,33.0,118858.0,Finance,17.0
36.0,32.0,49065.0,HR,13.0
37.0,64.0,113460.0,Marketing,1.0
38.0,68.0,118092.0,HR,8.0
39.0,61.0,84693.0,Sales,4.0
,69.0,56962.0,HR,19.0
41.0,20.0,58295.0,Engineering,25.0
42.0,54.0,43807.0,Sales,28.0
,68.0,72348.0,Marketing,0.0
,24.0,56432.0,Engineering,22.0
45.0,38.0,113285.0,Sales,2.0
46.0,26.0,87854.0,Marketing,5.0
47.0,56.0,,Engineering,4.0
48.0,35.0,67080.0,Engineering,20.0
49.0,21.0,31324.0,Sales,
50.0,42.0,,Finance,4.0
51.0,31.0,119339.0,Engineering,0.0
52.0,67.0,49870.0,Engineering,16.0
53.0,26.0,64578.0,Marketing,18.0
54.0,43.0,102124.0,HR,13.0
55.0,19.0,56790.0,,11.0
56.0,37.0,55289.0,Sales,9.0
57.0,45.0,85129.0,Finance,19.0
58.0,64.0,45485.0,,20.0
59.0,24.0,74482.0,Sales,17.0
60.0,61.0,,Finance,23.0
61.0,25.0,34748.0,Marketing,26.0
62.0,64.0,116769.0,Sales,10.0
63.0,52.0,39435.0,Finance,
64.0,31.0,33709.0,Sales,1.0
65.0,34.0,60355.0,HR,
,,85771.0,Engineering,17.0
67.0,67.0,87799.0,Sales,28.0
68.0,57.0,43116.0,Engineering,24.0
